Organisation Name,Section,Costs (Higher),Financial year: End Date
Centro Savonese di Servizi per il Volontariato (Cesavo),III - Non-governmental organisations,199999,01/12/2017
EUROPEAN LOGISTICS PLATFORM (ELP),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Veikkauksen edunv_litt_j_t - The Beneficiaries of Finnish Lottery,III - Non-governmental organisations,199999,01/12/2017
The European Consulting Company (ECCO),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
Confederation of Paper Industries (CPI),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
ASSOCIAZIONE NAZIONALE DEGLI INDUSTRIALI DEL VETRO (ASSOVETRO),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2016
Diplomaten International DMW (DMW),III - Non-governmental organisations,49999,01/12/2016
CertifAir,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
ILC - Ilgner & Leszek Consulting Sp.z o.o (ILC),I - Professional consultancies/law firms/self-employed consultants,17800,01/12/2017
Asociaci„n Ib_rica de LimnologÍa (AIL),III - Non-governmental organisations,9999,01/12/2016
Scalable Life Sciences (Scalable),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
BDL Lobbying Srl (BDL),I - Professional consultancies/law firms/self-employed consultants,299999,01/12/2016
Finnish Association of Construction Product Industries (RTT),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2017
European Beer Consumers Union (EBCU),III - Non-governmental organisations,9999,01/12/2016
European Solar Thermal Electricity Association (ESTELA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
Groupement des Industries du Groupe Electrogène (GIGREL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Culinaria Europe e. V. (Culinaria Europe),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Syndicat National de l'Edition Phonographique (SNEP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Ostravskˆ univerzita (OSU),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Vereinigung Cockpit e.V. (VC),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2015
"Serveis de Suport a la Gestio, S.L. (ENT)",I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
europroject (erp),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
University of Bath (UBAH),"IV - Think tanks, research and academic institutions",9999,01/07/2016
Servier,II - In-house lobbyists and trade/business/professional associations,403806,01/09/2016
Cuadrilla Resources,II - In-house lobbyists and trade/business/professional associations,24999,01/01/2016
Chapel for Europe,V - Organisations representing churches and religious communities,9999,01/12/2016
PRS for Music,II - In-house lobbyists and trade/business/professional associations,90000,01/12/2015
European Safety Federation (ESF),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Terumo BCT,II - In-house lobbyists and trade/business/professional associations,9999,01/03/2016
European Wood Preservative Manufacturers Group (EWPM),II - In-house lobbyists and trade/business/professional associations,41151,01/04/2017
European Building Automation and Controls Association (eu.bac),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Interconnector UK Limited (IUK),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
F_d_ration Europ_enne des Cadres de l'Energie et de la Recherche - European Federation of managers and executives in the Energy sector (FECER),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
EUROPEAN MARITIME PILOTS ASSOCIATION (EMPA),III - Non-governmental organisations,9999,01/12/2016
amcAUSTRIA-Interessensvertretung der _sterreichischen Erzeugerorganisationen fôr Obst und Gemôse e.V. (amcAUSTRIA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Camera de Comert si Industrie Bilaterala Romania-Columbia (CRCC),III - Non-governmental organisations,9000,01/01/2017
Krzysztof Wies_aw _ukowski (PROMESA),I - Professional consultancies/law firms/self-employed consultants, -   ,
The Institute for Intercultural Communication and Interdisciplinary Studies SILK ROAD (IKMiSI SILK ROAD),III - Non-governmental organisations,9999,01/12/2016
European Compliance Organizations for Batteries (Eucobat),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Centre Europeen de Droit et d'Economie (CEDE - ESSEC),"IV - Think tanks, research and academic institutions",9999,01/09/2016
Elektronische Sigaretten Bond Nederland (Esigbond),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Genitori Antismog (GAS),III - Non-governmental organisations,49999,01/12/2016
European Association of Industrial Silica Producers (EUROSIL),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Smart Business Diplomacy (SBD),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
Bundesverband fôr Menschen mit Arm- oder Beinamputation e.V. (BMAB),III - Non-governmental organisations,9999,01/12/2016
Verband TEGEWA e.V. (TEGEWA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
AIPROF - Associazione Italiana Professionisti Formatori (AIPROF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Genna Cabinet Sprl,I - Professional consultancies/law firms/self-employed consultants,99999,01/03/2017
"Polski Zwi_zek Hodowc„w i Producent„w Trzody Chlewnej ""POLSUS"" (PZHiPTCh ""POLSUS"")",II - In-house lobbyists and trade/business/professional associations,1000,01/12/2016
Shortsea Promotion Centre Spain (SPC Spain),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
The Document Foundation (TDF),III - Non-governmental organisations,9999,01/12/2016
Cellnex Telecom S.A. (CLNX),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Instytut na rzecz Kultury Prawnej Ordo Iuris (Instytut Ordo Iuris),III - Non-governmental organisations,9999,01/12/2016
Association Vigilance Environnement de la Vall_e de l'Yerres (DRAPO AVEVY),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2016
Tobacco Vapor Electronic Cigarette Association (TVECA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Institutional Investors Group on Climate Change (IIGCC),III - Non-governmental organisations,299999,01/12/2016
ICODA European Affairs (ICODA),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2016
PSL Associates SCS,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
PROMETHEE,III - Non-governmental organisations,9999,01/12/2017
SEUR,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
DER MITTELSTANDSVERBUND (ZGV),II - In-house lobbyists and trade/business/professional associations,100000,01/01/2016
FON KUM GILBERT CONSULTING (FKGC),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Kosmos Energy Ltd.,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Muslim Hands (MH),III - Non-governmental organisations,24999,01/12/2015
ACES Ing.-GmbH,II - In-house lobbyists and trade/business/professional associations,100,01/12/2016
Anheuser-Busch InBev nv/sa (ABI),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
Sadler Consultants / Sadler Consultants Ltd / Sadler Consultants GmbH i.G. (SC0 / SCL / SCG),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
FACHVERBAND METALLTECHNISCHE INDUSTRIE (FMTI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Women Entrepreneurs Association of Turkey (KAGIDER),III - Non-governmental organisations,24999,01/12/2016
Associazione Nazionale Educatori Professionali (ANEP),III - Non-governmental organisations,9999,01/12/2015
Finnish Pension Alliance TELA (TELA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Michel Abdelahad (Michel Abdelahad),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
STEAG GmbH (STEAG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Forum pour un Contrat de G_n_ration Nord-Sud (Forum Nord Sud),III - Non-governmental organisations,9999,01/12/2015
Heinrich B_ll Stiftung e.V. (hbs),III - Non-governmental organisations,899999,01/12/2016
SALESAS TRES CENTRO DE ESTUDIOS,I - Professional consultancies/law firms/self-employed consultants,699999,01/12/2017
"Focus, association for sustainable development (Focus)",III - Non-governmental organisations,99999,01/12/2016
CONFIMPRENDITORI (CONFIMPRENDITORI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
FUCHS SCHMIERSTOFFE GMBH (FS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
ASSOCIATION DES PRATICIENS DU DROIT DES MARQUES ET DES MOD_LES (APRAM),III - Non-governmental organisations,9999,01/12/2016
GKI Economic Research Co. (GKI),"IV - Think tanks, research and academic institutions",250000,01/12/2016
European Health Futures Forum (EHFF),III - Non-governmental organisations,99999,01/12/2016
Decideum Limited,I - Professional consultancies/law firms/self-employed consultants,9999,01/10/2016
Indra (Indra),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
Bertelsmann Stiftung,III - Non-governmental organisations,3999999,01/12/2016
LyondellBasell Industries N.V. (LYB),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Ahold Delhaize,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
United Kingdom Maritime Pilots Association (UKMPA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Euroshore International (Euroshore),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
European Federation of Employees in Public Services (EUROFEDOP),II - In-house lobbyists and trade/business/professional associations,72410,01/12/2017
Halliburton Company,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
UK Onshore Oil & Gas (UKOOG),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
"HOTREC, Hotels, Restaurants & Caf_s in Europe (HOTREC)",II - In-house lobbyists and trade/business/professional associations,900000,01/12/2016
Association of the Dutch Metallurgical Industry (VNMI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Federation for Managers in Technologies of Information and Communication (eTIC-CEC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Transatlantic Consumer Dialogue (TACD),III - Non-governmental organisations,199999,01/12/2016
EU Rights Clinic (EURC),III - Non-governmental organisations,9999,01/12/2016
Magyar Vegyipari Sz_vets_g (MAVESZ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Chambre de commerce et d'industrie de r_gion Paris Ile-de-France (CCI Paris Ile-de-Fra),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",899999,01/12/2015
ANIA Association Nationale des Industries Alimentaires (ANIA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Austrian Senior Experts Pool (ASEP),III - Non-governmental organisations,9999,01/12/2016
Federazione Italiana Aerobica e Fitness (FIAF),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Council on Economic Policies (CEP),"IV - Think tanks, research and academic institutions",24999,01/12/2016
Dru_tvo Ekologi brez meja (EBM),III - Non-governmental organisations,9999,01/12/2015
Association for District Heating of the Czech Republic (ADH CR),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Skane European Office (SEO),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",599999,01/12/2016
Deloitte & Touche S.p.A. (Deloitte),I - Professional consultancies/law firms/self-employed consultants,99999,01/05/2016
Confederaç†o Nacional das Cooperativas AgrÍcolas e do Cr_dito AgrÍcola de Portugal (CONFAGRI),II - In-house lobbyists and trade/business/professional associations,13673,01/12/2016
thyssenkrupp AG (tkAG),II - In-house lobbyists and trade/business/professional associations,899999,01/09/2016
EurAc | European Network for Central Africa (EurAc),III - Non-governmental organisations,299999,01/12/2017
WIENER STADTWERKE Holding AG (WSTW),II - In-house lobbyists and trade/business/professional associations,140000,01/12/2016
Berbalk Communications (BC),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2015
European Payment Institutions Federation (EPIF),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Mead Johnson Nutrition B.V.,II - In-house lobbyists and trade/business/professional associations,50000,01/12/2016
Aphaia Ltd (Aphaia),I - Professional consultancies/law firms/self-employed consultants,9999,01/02/2016
Westdeutsche Lotteriegesellschaft GmbH & Co. OHG (WestLotto),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Forum InformatikerInnen fôr Frieden und gesellschaftliche Verantwortung e.V. (FIfF),III - Non-governmental organisations,9999,01/12/2016
AFAÒA,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
EPEA Internationale Umweltforschung GmbH (EPEA),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
European Microfinance Network aisbl (EMN aisbl),III - Non-governmental organisations,24999,01/12/2015
"Koch Companies Public Sector, LLC",II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Climate Disclosure Standards Board (CDSB),III - Non-governmental organisations,9999,01/03/2017
Asocia_ia Copyratul Rom_n (COPYRATUL),III - Non-governmental organisations,9999,01/01/2016
F_d_ration des entreprises de Veille M_dia (Fevem),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
European Privacy Association (EPA),"IV - Think tanks, research and academic institutions",24999,01/12/2015
Web-Guard (WG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Electricity Association of Ireland (EAI),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Confederazione Italiana Agricoltori (CIA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
ICARO ONLUS Agenzia Europea per la Tutela Ambientale,III - Non-governmental organisations,9999,01/12/2016
European Scientific Cooperative on Anthroposophic Medicinal Products (ESCAMP),"IV - Think tanks, research and academic institutions",9999,01/01/2017
European Society of Toxicology In Vitro (ESTIV),"IV - Think tanks, research and academic institutions",9999,01/12/2016
alchemia-nova GmbH (alchemia-nova),"IV - Think tanks, research and academic institutions",399999,01/12/2016
OCI Nitrogen (OCI-N),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Association des yaourts & laits ferment_s vivants (YLFA International),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Institute of Air Quality Management (IAQM),II - In-house lobbyists and trade/business/professional associations,24999,01/06/2017
Harley-Davidson Europe,II - In-house lobbyists and trade/business/professional associations,199999,01/04/2016
The Russell Group of Universities,"IV - Think tanks, research and academic institutions",45000,01/07/2017
Der Grône Punkt - Duales System Deutschland GmbH (DSD - Duales System),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Loan Market Association (LMA),II - In-house lobbyists and trade/business/professional associations,49999,01/01/2017
ZOETIS,II - In-house lobbyists and trade/business/professional associations,599999,01/11/2016
Voluntary Services Overseas (VSO),III - Non-governmental organisations,99999,01/04/2015
European Lime Association (EuLA),II - In-house lobbyists and trade/business/professional associations,5000,01/12/2017
Conserve Italia Soc. Coop. Agr. (Conserve Italia),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2016
Clean Air Action Group (Leveg_ Munkacsoport) (CAAG),III - Non-governmental organisations,116024,01/12/2015
Polska Izba Handlu  (Polish Chamber of Trade) (PIH),II - In-house lobbyists and trade/business/professional associations,1000,01/12/2016
KDC Conseil SPRL (KDC Conseil),I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2016
Malm_ stad/City of Malm_ (Malm_ Stad),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",250000,01/01/2016
SYNDICAT NATIONAL DES INGREDIENTS AROMATIQUES ALIMENTAIRES (SNIAA),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Sôdtiroler Bauernbund (SBB),III - Non-governmental organisations,9999,01/12/2017
Imball - Center Srl,II - In-house lobbyists and trade/business/professional associations,1000,01/12/2016
"_EZ, a.s. (CEZ Group)",II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Stiftung Ordnungspolitik - Centrum fôr Europ_ische Politik (CEP),"IV - Think tanks, research and academic institutions",1249999,01/12/2016
ID Quantique SA (IDQ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Road Transport Research Advisory Council (ERTRAC),III - Non-governmental organisations,99999,01/12/2017
VOYAGES-SNCF.COM (VSC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Latvian Chamber of Traders (LTK),III - Non-governmental organisations,100000,01/01/2018
European Association Notified Bodies Medical Devices (Team-NB),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Climate Economics Chair (Paris-Dauphine University -  Europlace Institute of Finance) (CEC),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Stallergenes SAS,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Association of Service Providers for Persons with Disabilities (EASPD),III - Non-governmental organisations,199999,01/12/2016
greencross austria romania (GCAR),III - Non-governmental organisations,50000,01/12/2015
Asociaci„n de Empresas de EnergÍas Renovables (APPA),III - Non-governmental organisations,444232,01/12/2015
Amsterdam Centre For Tax Law (ACTL),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Eindhoven-Brainport EU Office (Eindhoven-Brainport),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2015
Confederaci„n de Productores Audiovisuales Espa_oles (FAPAE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Academy of Dermatology and Venereology (EADV),III - Non-governmental organisations,99999,01/12/2016
Cov_a,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Autorisere KËle- & Varmepumpe-firmaers Brancheforening (AKB),II - In-house lobbyists and trade/business/professional associations,24999,01/08/2017
"ACTIVE - Sobriety, Friendship and Peace (ACTIVE)",III - Non-governmental organisations,9999,01/12/2015
Vorwerk & Co. KG,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Fachverband Biogas (FvB),III - Non-governmental organisations,9999,01/12/2017
Klima-Allianz Deutschland,III - Non-governmental organisations,9999,01/12/2016
Organisation des producteurs de thon tropical congel_ et surgel_ (ORTHONGEL),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
APE EUROPE (APE EUROPE),III - Non-governmental organisations,9999,01/12/2015
Commercial Boat Operators Association (CBOA),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2016
Plateforme Pour une autre PAC,III - Non-governmental organisations,9999,01/12/2016
International Carbon Black Association (ICBA),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Polo Interregionale Jean Monnet - Pavia (Polo JM Pavia),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Fertiberia S.A. (FERTIBERIA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Mitsubishi Electric Europe B.V. Brussels Representative Office (MEU-BRO),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2016
European Federation for Construction Chemicals (EFCC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
NRK Recycling (VKR),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
British Ceramic Confederation (BCC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
European Business Summit Network (EBS),III - Non-governmental organisations,24999,01/12/2016
RELX Group,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
German Association for the Protection of Intellectual Property (GRUR e.V.),III - Non-governmental organisations,9999,01/12/2017
Fundaci„n Impuestos y Competitividad (FIC),"IV - Think tanks, research and academic institutions",9999,01/12/2015
Bundesverband der Dienstleistungswirtschaft (BDWi),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
__________ ____________ ______ ___________ _______ ________ (OPAP SA),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2016
The Royal Swedish Academy of Sciences (RSAS),III - Non-governmental organisations,9999,01/12/2016
Federatie Nederlandse Levensmiddelen Industrie (FNLI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Federacja Bran_owych Zwi_zk„w Producent„w Rolnych (FBZPR),II - In-house lobbyists and trade/business/professional associations,150000,01/12/2016
European Centre for Economic and Policy Analysis and Affairs (ECEPAA),III - Non-governmental organisations,49999,01/12/2015
Climate Strategies (CS),III - Non-governmental organisations,80000,01/07/2016
European Internet Forum (EIF),III - Non-governmental organisations,499999,01/12/2016
Monsanto (MON),II - In-house lobbyists and trade/business/professional associations,1499999,01/08/2017
Peaceful Fish Productions Ltd. (PF),I - Professional consultancies/law firms/self-employed consultants,9999,01/04/2016
Danish Pelagic Producers Organisation (DPPO),III - Non-governmental organisations,9999,01/01/2016
Branchevereniging VHG (VHG),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
LobbyControl,III - Non-governmental organisations,76000,01/12/2016
Triodos Bank,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
FAKRO Sp. z o.o.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Blue Cross,III - Non-governmental organisations,49999,01/12/2015
Latvian Transatlantic Organisation (LATO),III - Non-governmental organisations,99999,01/12/2016
Zentralverband Sanit_r Heizung Klima (ZVSHK),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
Shipyards' and Maritime Equipment Association (SEA Europe),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Groupement d'Int_ret Public - R_seau des Acheteurs Hospitaliers (RESAH),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",1249999,01/12/2016
Lejeune Consulting (LC),I - Professional consultancies/law firms/self-employed consultants,40000,01/12/2015
Helsinki EU Office (vastuutaho Uudenmaan liitto) (Helsinki EU Office),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",399999,01/12/2016
21st Century Fox (21CF),II - In-house lobbyists and trade/business/professional associations,299999,01/06/2017
Eesti P_llumajandus-Kaubanduskoda (EPKK),II - In-house lobbyists and trade/business/professional associations,111000,01/12/2016
PROGECOOP,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
"BJD Reinsurance Consulting, SARL (BJD Re Consulting)",I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
East Japan Railway Company (JR East),II - In-house lobbyists and trade/business/professional associations,199999,01/03/2017
MEW Mittelst_ndische Energiewirtschaft Deutschland e.V. (MEW),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
2thePoint Consulting,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Associaç†o Nacional dos M_dicos de Saìde Pìblica (ANMSP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Citadel LLC,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Fortum Oyj,II - In-house lobbyists and trade/business/professional associations,588000,01/12/2016
Bundesverband der Deutschen Luftverkehrswirtschaft e. V. (BDL),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Maastricht Centre for Taxation (MCT),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Swedish Recycling Industries‚ Assocation (SRI),II - In-house lobbyists and trade/business/professional associations,30000,01/12/2016
Fur Europe (Fur Europe),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Kohlberg Kravis Roberts & Co. Partners LLP (KKR),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Drax Group plc,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Swedish Match,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Adobe Systems Benelux bv (Adobe),II - In-house lobbyists and trade/business/professional associations,99999,01/11/2016
Romeo D'Amicis (RDA Consulting),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Huawei Technologies (Huawei),II - In-house lobbyists and trade/business/professional associations,2800000,01/12/2015
Knauf Insulation,II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
Bureau Bungenberg,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Fundamental Rights European Experts Group (FREE Group),"IV - Think tanks, research and academic institutions",9999,01/04/2016
IFPI Danmark (IFPI),II - In-house lobbyists and trade/business/professional associations,60000,01/12/2015
Association for Insurance Promotion (APPA),III - Non-governmental organisations,89000,01/12/2017
Soc.Coop. Prisma - Cooperativa Sociale (COOP PRISMA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Woodlands of Ireland Project (WoI),III - Non-governmental organisations,9999,01/12/2016
Internet Corporation for Assigned Names and Numbers (ICANN),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",99999,01/06/2016
Independent Pan-European Digital Association (IPEDA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Colegio Profesional de Ingenieros en Informˆtica de AndalucÍa (CPIIA),II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2016
Fokker Technologies (Fokker),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
"Bundesverband Der Industrie- und Handelsunternehmen fôr Arzneimittel, Reformwaren, Nahrungserg_nzungsmittel und kosmetische Mittel e.V. (BDIH)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
ThinkYoung (TY),"IV - Think tanks, research and academic institutions",49999,01/12/2016
Luca Ruggero Jacovella,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
1. Rozvojova s.r.o. (1RV),I - Professional consultancies/law firms/self-employed consultants,20000,01/12/2016
Jurka Political Strategic Advisors (Jurka P.S.A.),I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2016
European Industrial Hemp Association (EIHA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Bureau Telematica Binnenvaart (BTB),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
European Maritime Heritage (EMH),III - Non-governmental organisations,9999,01/12/2016
Fundatia George Enescu (FGE),III - Non-governmental organisations,99999,01/10/2017
TRIMET Aluminium SE (TRIMET),II - In-house lobbyists and trade/business/professional associations,9999,01/06/2017
Carbon Recycling International ehf. (CRI),II - In-house lobbyists and trade/business/professional associations,1000,01/12/2016
Associazione Bancaria Italiana (ABI),II - In-house lobbyists and trade/business/professional associations,1749000,01/12/2016
European Organisation of Tomato Industries (OEIT),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Unioncamere Lombardia (UCLombardia),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2015
Polish Confederation Lewiatan (Lewiatan),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2017
Association Mieux Prescrire (AMP),III - Non-governmental organisations,9999,01/08/2016
PERNOD RICARD,II - In-house lobbyists and trade/business/professional associations,899999,01/06/2017
GGI Geneva Group International (GGI),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Arbeitsgemeinschaft der Versicherungsvereine auf Gegenseitigkeit e.V. (ARGE VVaG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Commitee of Electrical Installation Equipment Manufacturers (CECAPI),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
P»le EMC2 (EMC2),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",24999,01/12/2016
Administration des Droits de propri_t_ intellectuelle des artistes-interprètes (ADAMI),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
CONFEDERACION ESPA‹OLA DE COOPERATIVAS DE CONSUMIDORES Y USUARIOS (HISPACOOP),III - Non-governmental organisations,199999,01/12/2016
Transportindustrif_rbundet (STIF),II - In-house lobbyists and trade/business/professional associations,25000,01/12/2016
Global Federation of Insurance Associations (GFIA),II - In-house lobbyists and trade/business/professional associations,99999,01/10/2016
DPA - Danish Songwriters Guild,III - Non-governmental organisations,49999,01/12/2016
League for Pastoral People and Endogenous Livestock Development (LPP),III - Non-governmental organisations,9999,01/12/2016
Ecommerce Europe,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Capital International Limited (CIL),II - In-house lobbyists and trade/business/professional associations,299999,01/06/2016
American Association for the Advancement of Science (AAAS),III - Non-governmental organisations,9999,01/12/2015
Forsikring & Pension (Danish Insurance Association) (DIA),II - In-house lobbyists and trade/business/professional associations,899999,01/01/2016
Audiovisual Anti-Piracy Alliance (AAPA),II - In-house lobbyists and trade/business/professional associations,50000,01/12/2017
World Wide Fund for Nature - Greece (WWF Greece),III - Non-governmental organisations,399999,01/07/2016
Climate Advisers (CA),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2016
Eunomia Research & Consulting Ltd (Eunomia),I - Professional consultancies/law firms/self-employed consultants,9999,01/03/2016
